ensembl_gene_id	length
ENSG00000014216	1149
ENSG00000014257	1060
ENSG00000014641	918
ENSG00000014824	2217
ENSG00000014914	1917
ENSG00000014919	2728
ENSG00000015133	1592
ENSG00000015153	1507
ENSG00000015171	3260
ENSG00000015285	1296
ENSG00000015413	1158
ENSG00000015475	1436
ENSG00000015479	1562
ENSG00000015520	4352
ENSG00000015532	1813
ENSG00000015568	2073
ENSG00000015592	1342
ENSG00000015676	1564
ENSG00000016082	1529
ENSG00000016391	2963
ENSG00000016402	1762
ENSG00000016490	3157
ENSG00000016602	1846
ENSG00000016864	1084
ENSG00000017260	2626
ENSG00000017427	1649
ENSG00000017483	1074
ENSG00000017797	2451
ENSG00000018189	1312
ENSG00000018236	2200
ENSG00000018280	1519
ENSG00000018408	1572
ENSG00000018510	4829
ENSG00000018610	1584
ENSG00000018625	2312
ENSG00000018699	1226
ENSG00000018869	1411
ENSG00000019102	1177
ENSG00000019144	2667
ENSG00000019169	978
ENSG00000019186	1402
ENSG00000019485	4828
ENSG00000019505	2477
ENSG00000019549	1878
ENSG00000019582	1475
ENSG00000019991	1782
ENSG00000019995	3141
ENSG00000020129	2294
ENSG00000020181	4595
ENSG00000020219	1674
ENSG00000020256	1642
ENSG00000020426	913
ENSG00000020577	2644
ENSG00000020633	2727
ENSG00000020922	1851
ENSG00000021300	959
ENSG00000021355	1032
ENSG00000021461	1114
ENSG00000021488	1500
ENSG00000021574	3220
ENSG00000021645	3351
ENSG00000021762	1592
ENSG00000021776	3458
ENSG00000021826	3598
ENSG00000021852	1947
ENSG00000022267	1295
ENSG00000022277	1187
ENSG00000022355	2303
ENSG00000022556	1878
ENSG00000022567	3425
ENSG00000022840	901
ENSG00000022976	1912
ENSG00000023041	2624
ENSG00000023171	3167
ENSG00000023191	1395
ENSG00000023228	2781
ENSG00000023287	1876
ENSG00000023318	4260
ENSG00000023330	1708
ENSG00000023445	3364
ENSG00000023516	9915
ENSG00000023572	2050
ENSG00000023608	2593
ENSG00000023697	944
ENSG00000023734	1129
ENSG00000023839	1611
ENSG00000023892	2352
ENSG00000023902	1323
ENSG00000023909	2275
ENSG00000024048	5157
ENSG00000024422	1452
ENSG00000024526	2948
ENSG00000024862	1247
ENSG00000025039	3286
ENSG00000025156	1960
ENSG00000025293	1173
ENSG00000025423	1053
ENSG00000025434	970
ENSG00000025708	1188
ENSG00000025770	1326
ENSG00000025772	1973
ENSG00000025796	1307
ENSG00000025800	3285
ENSG00000026025	1371
ENSG00000026036	5004
ENSG00000026103	2970
ENSG00000026297	2082
ENSG00000026508	1081
ENSG00000026559	1564
ENSG00000026652	4001
ENSG00000026751	2245
ENSG00000026950	1746
ENSG00000027001	1041
ENSG00000027075	898
ENSG00000027644	5200
ENSG00000027697	1866
ENSG00000027847	1333
ENSG00000027869	1216
ENSG00000028116	1678
ENSG00000028137	2059
ENSG00000028203	1259
ENSG00000028277	1964
ENSG00000028310	1663
ENSG00000028528	2053
ENSG00000028839	1254
ENSG00000029363	2830
ENSG00000029364	2328
ENSG00000029534	3487
ENSG00000029559	1573
ENSG00000029639	795
ENSG00000029725	1906
ENSG00000029993	1270
ENSG00000030066	2105
ENSG00000030110	2191
ENSG00000030304	2707
ENSG00000030419	3395
ENSG00000030582	779
ENSG00000031003	1827
ENSG00000031081	4929
ENSG00000031691	1741
ENSG00000031698	1288
ENSG00000031823	1015
ENSG00000032219	2510
ENSG00000032389	1052
ENSG00000032444	1442
ENSG00000032742	1703
ENSG00000033011	2649
ENSG00000033030	2214
ENSG00000033050	1479
ENSG00000033100	2723
ENSG00000033122	4011
ENSG00000033170	1730
ENSG00000033178	2568
ENSG00000033327	2149
ENSG00000033627	3010
ENSG00000033800	2001
ENSG00000033867	3941
ENSG00000034053	2272
ENSG00000034152	1083
ENSG00000034510	461
ENSG00000034533	1318
ENSG00000034677	1060
ENSG00000034693	1314
ENSG00000034713	1051
ENSG00000034971	1836
ENSG00000035115	1325
ENSG00000035141	1445
ENSG00000035403	3548
ENSG00000035499	1306
ENSG00000035664	1900
ENSG00000035681	1171
ENSG00000035687	1431
ENSG00000035720	1548
ENSG00000035862	2602
ENSG00000035928	1199
ENSG00000036054	2018
ENSG00000036257	1862
ENSG00000036448	1102
ENSG00000036473	2141
ENSG00000036530	2077
ENSG00000036549	2025
ENSG00000036565	1907
ENSG00000036672	1550
ENSG00000036828	4386
ENSG00000037042	1471
ENSG00000037241	594
ENSG00000037280	2509
ENSG00000037474	1784
ENSG00000037637	2811
ENSG00000037749	2269
ENSG00000037757	1559
ENSG00000037897	754
ENSG00000037965	2417
ENSG00000038002	850
ENSG00000038210	2491
ENSG00000038219	4719
ENSG00000038274	2097
ENSG00000038295	3328
ENSG00000038358	1753
ENSG00000038382	2807
ENSG00000038427	4488
ENSG00000038532	2307
ENSG00000038945	1263
ENSG00000039068	1892
ENSG00000039123	1443
ENSG00000039139	4525
ENSG00000039319	3373
ENSG00000039523	1643
ENSG00000039537	1538
ENSG00000039560	1328
ENSG00000039600	2555
ENSG00000039650	842
ENSG00000039987	1686
ENSG00000040199	4401
ENSG00000040275	887
ENSG00000040341	1466
ENSG00000040487	1552
ENSG00000040531	1606
ENSG00000040608	1230
ENSG00000040633	998
ENSG00000040731	2247
ENSG00000040933	4828
ENSG00000041353	2114
ENSG00000041357	1101
ENSG00000041515	3611
ENSG00000041802	988
ENSG00000041880	1567
ENSG00000041982	3413
ENSG00000041988	1030
ENSG00000042062	2370
ENSG00000042088	1527
ENSG00000042286	2476
ENSG00000042317	1147
ENSG00000042429	2236
ENSG00000042445	1537
ENSG00000042493	816
ENSG00000042753	633
ENSG00000042781	9102
ENSG00000042813	754
ENSG00000042832	1499
ENSG00000042980	1968
ENSG00000043039	2026
ENSG00000043093	2060
ENSG00000043143	2891
ENSG00000043355	898
ENSG00000043462	1365
ENSG00000043514	1644
ENSG00000043591	3039
ENSG00000044012	604
ENSG00000044090	4031
ENSG00000044115	975
ENSG00000044446	1618
ENSG00000044459	3293
ENSG00000044524	3781
ENSG00000044574	4155
ENSG00000046604	4461
ENSG00000046647	1794
ENSG00000046651	3866
ENSG00000046653	1508
ENSG00000046774	1994
ENSG00000046889	3688
ENSG00000047056	3215
ENSG00000047188	2828
ENSG00000047230	2610
ENSG00000047249	965
ENSG00000047315	1850
ENSG00000047365	1920
ENSG00000047410	2272
ENSG00000047457	1583
ENSG00000047578	1590
ENSG00000047579	1243
ENSG00000047597	5174
ENSG00000047617	1426
ENSG00000047634	2483
ENSG00000047644	3740
ENSG00000047648	3786
ENSG00000047662	6731
ENSG00000047849	2989
ENSG00000047932	4549
ENSG00000047936	5522
ENSG00000048028	1947
ENSG00000048052	2704
ENSG00000048140	2018
ENSG00000048162	774
ENSG00000048342	3106
ENSG00000048392	1069
ENSG00000048405	2079
ENSG00000048462	690
ENSG00000048471	1881
ENSG00000048540	1570
ENSG00000048544	2124
ENSG00000048545	2014
ENSG00000048649	2339
ENSG00000048707	3934
ENSG00000048740	4113
ENSG00000048828	2640
ENSG00000048991	1800
ENSG00000049089	1016
ENSG00000049130	3543
ENSG00000049167	2378
ENSG00000049192	2914
ENSG00000049239	5813
ENSG00000049245	1135
ENSG00000049246	3301
ENSG00000049247	871
ENSG00000049249	1877
ENSG00000049283	1135
ENSG00000049323	2633
ENSG00000049449	1419
ENSG00000049540	1656
ENSG00000049541	969
ENSG00000049618	3785
ENSG00000049656	1043
ENSG00000049759	2905
ENSG00000049768	1269
ENSG00000049769	2125
ENSG00000049860	931
ENSG00000049883	2290
ENSG00000050030	11213
ENSG00000050130	1319
ENSG00000050165	1532
ENSG00000050327	2771
ENSG00000050344	2097
ENSG00000050393	2636
ENSG00000050405	1865
ENSG00000050426	1039
ENSG00000050438	2821
ENSG00000050555	3026
ENSG00000050628	2558
ENSG00000050730	1289
ENSG00000050748	2307
ENSG00000050767	2025
ENSG00000050820	2039
ENSG00000051009	2394
ENSG00000051108	1052
ENSG00000051128	1106
ENSG00000051180	1352
ENSG00000051341	2678
ENSG00000051382	2743
ENSG00000051523	942
ENSG00000051596	828
ENSG00000051620	3007
ENSG00000051825	1502
ENSG00000052126	2818
ENSG00000052344	1046
ENSG00000052723	1447
ENSG00000052749	1870
ENSG00000052795	2433
ENSG00000052802	1299
ENSG00000052841	1791
ENSG00000052850	5727
ENSG00000053108	1727
ENSG00000053254	1531
ENSG00000053328	1980
ENSG00000053371	1354
ENSG00000053372	1012
ENSG00000053438	1052
ENSG00000053501	886
ENSG00000053524	2757
ENSG00000053702	1309
ENSG00000053747	3570
ENSG00000053770	2096
ENSG00000053900	1547
ENSG00000053918	2065
ENSG00000054116	1100
ENSG00000054118	3026
ENSG00000054148	790
ENSG00000054179	1474
ENSG00000054219	2934
ENSG00000054267	3188
ENSG00000054277	1349
ENSG00000054282	980
ENSG00000054356	1482
ENSG00000054392	3028
ENSG00000054523	4632
ENSG00000054598	3983
ENSG00000054611	1879
ENSG00000054654	5276
ENSG00000054690	1951
ENSG00000054793	5256
ENSG00000054796	1401
ENSG00000054803	3154
ENSG00000054938	1358
ENSG00000054965	3404
ENSG00000054967	2251
ENSG00000054983	1372
ENSG00000055044	792
ENSG00000055070	1504
ENSG00000055118	2988
ENSG00000055130	2737
ENSG00000055147	1132
ENSG00000055163	1891
ENSG00000055208	2264
ENSG00000055211	1511
ENSG00000055332	6428
ENSG00000055483	2008
ENSG00000055609	5418
ENSG00000055732	2544
ENSG00000055813	4114
ENSG00000055917	2662
ENSG00000055950	919
ENSG00000055955	1472
ENSG00000055957	1281
ENSG00000056050	751
ENSG00000056097	2059
ENSG00000056277	3304
ENSG00000056291	1559
ENSG00000056487	1600
ENSG00000056558	4123
ENSG00000056586	3397
ENSG00000056678	168
ENSG00000056736	1962
ENSG00000056972	1801
ENSG00000056998	1726
ENSG00000057019	1860
ENSG00000057149	1624
ENSG00000057252	5341
ENSG00000057294	2562
ENSG00000057468	3270
ENSG00000057593	1822
ENSG00000057608	1240
ENSG00000057657	3107
ENSG00000057663	2225
ENSG00000057704	2821
ENSG00000057757	1212
ENSG00000057935	1879
ENSG00000058056	1007
ENSG00000058063	2622
ENSG00000058085	2694
ENSG00000058091	1744
ENSG00000058262	3270
ENSG00000058272	1830
ENSG00000058335	2088
ENSG00000058404	1591
ENSG00000058453	1760
ENSG00000058600	1644
ENSG00000058668	4171
ENSG00000058673	3661
ENSG00000058729	1226
ENSG00000058799	1211
ENSG00000058804	2668
ENSG00000058866	2178
ENSG00000059122	1739
ENSG00000059145	1561
ENSG00000059377	1167
ENSG00000059378	1215
ENSG00000059573	1742
ENSG00000059588	1459
ENSG00000059691	1736
ENSG00000059728	2343
ENSG00000059758	1134
ENSG00000059769	2450
ENSG00000059804	1658
ENSG00000059915	1743
ENSG00000060069	2047
ENSG00000060138	1086
ENSG00000060140	875
ENSG00000060237	4108
ENSG00000060303	408
ENSG00000060339	1925
ENSG00000060491	2490
ENSG00000060558	1217
ENSG00000060566	1500
ENSG00000060642	2693
ENSG00000060656	2479
ENSG00000060688	1013
ENSG00000060709	3698
ENSG00000060718	3462
ENSG00000060749	3124
ENSG00000060762	804
ENSG00000060971	1297
ENSG00000060982	2613
ENSG00000061273	1630
ENSG00000061337	4260
ENSG00000061455	2654
ENSG00000061492	1490
ENSG00000061656	950
ENSG00000061676	4070
ENSG00000061794	1063
ENSG00000061918	2611
ENSG00000061936	2330
ENSG00000061938	2255
ENSG00000061987	4111
ENSG00000062038	1512
ENSG00000062096	2078
ENSG00000062194	2207
ENSG00000062282	1867
ENSG00000062370	1536
ENSG00000062485	969
ENSG00000062524	2378
ENSG00000062582	852
ENSG00000062598	1632
ENSG00000062650	2990
ENSG00000062716	2272
ENSG00000062725	2269
ENSG00000062822	2625
ENSG00000063015	2696
ENSG00000063046	1256
ENSG00000063127	1270
ENSG00000063169	5109
ENSG00000063176	1855
ENSG00000063177	1051
ENSG00000063180	717
ENSG00000063241	1144
ENSG00000063244	1522
ENSG00000063245	3308
ENSG00000063322	2125
ENSG00000063438	2114
ENSG00000063515	2625
ENSG00000063587	5111
ENSG00000063601	1781
ENSG00000063660	1762
ENSG00000063761	1660
ENSG00000063854	1125
ENSG00000063978	1070
ENSG00000064012	1832
ENSG00000064042	3245
ENSG00000064102	894
ENSG00000064115	794
ENSG00000064195	1718
ENSG00000064199	2475
ENSG00000064201	1105
ENSG00000064205	1681
ENSG00000064218	1495
ENSG00000064225	1264
ENSG00000064270	1515
ENSG00000064300	1984
ENSG00000064309	4418
ENSG00000064313	4143
ENSG00000064393	7412
ENSG00000064419	3749
ENSG00000064490	824
ENSG00000064545	1136
ENSG00000064547	1037
ENSG00000064601	2643
ENSG00000064607	2753
ENSG00000064651	3192
ENSG00000064652	774
ENSG00000064655	1208
ENSG00000064666	1430
ENSG00000064687	1804
ENSG00000064692	2056
ENSG00000064703	3884
ENSG00000064726	1343
ENSG00000064763	2812
ENSG00000064787	2805
ENSG00000064835	1088
ENSG00000064886	924
ENSG00000064932	2100
ENSG00000064933	1918
ENSG00000064961	901
ENSG00000064989	1890
ENSG00000064995	2015
ENSG00000064999	4470
ENSG00000065000	2383
ENSG00000065029	1604
ENSG00000065057	776
ENSG00000065135	9044
ENSG00000065150	1432
ENSG00000065154	985
ENSG00000065183	3113
ENSG00000065243	2164
ENSG00000065268	1052
ENSG00000065308	7047
ENSG00000065320	3343
ENSG00000065325	2302
ENSG00000065328	2107
ENSG00000065357	1172
ENSG00000065361	2443
ENSG00000065371	1171
ENSG00000065413	2302
ENSG00000065427	1100
ENSG00000065457	1427
ENSG00000065485	1072
ENSG00000065491	3462
ENSG00000065518	698
ENSG00000065526	5698
ENSG00000065534	3320
ENSG00000065548	1196
ENSG00000065559	1407
ENSG00000065600	1280
ENSG00000065609	2018
ENSG00000065613	4104
ENSG00000065615	3579
ENSG00000065618	1969
ENSG00000065621	2747
ENSG00000065665	1324
ENSG00000065675	3192
ENSG00000065717	1036
ENSG00000065802	1414
ENSG00000065809	1162
ENSG00000065833	3338
ENSG00000065882	1977
ENSG00000065883	2946
ENSG00000065911	2363
ENSG00000065923	3086
ENSG00000065970	2946
ENSG00000065978	1512
ENSG00000065989	2250
ENSG00000066027	1370
ENSG00000066032	1804
ENSG00000066044	2012
ENSG00000066056	1418
ENSG00000066084	3524
ENSG00000066117	1276
ENSG00000066135	1460
ENSG00000066136	1198
ENSG00000066185	1032
ENSG00000066230	3456
ENSG00000066248	1096
ENSG00000066279	6429
ENSG00000066294	2774
ENSG00000066322	950
ENSG00000066336	1496
ENSG00000066379	1221
ENSG00000066382	1645
ENSG00000066405	2943
ENSG00000066422	4092
ENSG00000066427	1303
ENSG00000066455	1408
ENSG00000066468	2944
ENSG00000066557	2843
ENSG00000066583	1262
ENSG00000066629	1341
ENSG00000066651	1274
ENSG00000066654	2303
ENSG00000066697	1379
ENSG00000066735	6821
ENSG00000066739	2494
ENSG00000066777	2790
ENSG00000066813	1412
ENSG00000066827	2764
ENSG00000066855	1039
ENSG00000066923	2235
ENSG00000066926	2342
ENSG00000066933	2748
ENSG00000067048	1300
ENSG00000067057	1605
ENSG00000067064	1858
ENSG00000067066	1738
ENSG00000067082	2023
ENSG00000067113	946
ENSG00000067141	2960
ENSG00000067167	1680
ENSG00000067177	5800
ENSG00000067182	1670
ENSG00000067191	1483
ENSG00000067208	3722
ENSG00000067221	1790
ENSG00000067225	1460
ENSG00000067248	2636
ENSG00000067334	1951
ENSG00000067365	944
ENSG00000067369	2858
ENSG00000067445	1435
ENSG00000067533	4128
ENSG00000067560	1639
ENSG00000067596	2945
ENSG00000067606	948
ENSG00000067646	2605
ENSG00000067704	1301
ENSG00000067715	2981
ENSG00000067798	2712
ENSG00000067829	1037
ENSG00000067836	1004
ENSG00000067840	1707
ENSG00000067842	5129
ENSG00000067900	3336
ENSG00000067955	1774
ENSG00000067992	4493
ENSG00000068001	1443
ENSG00000068024	2252
ENSG00000068028	1723
ENSG00000068078	2420
ENSG00000068079	689
ENSG00000068097	1633
ENSG00000068120	1073
ENSG00000068137	2039
ENSG00000068305	2664
ENSG00000068308	1887
ENSG00000068323	1765
ENSG00000068354	1344
ENSG00000068366	3578
ENSG00000068383	1104
ENSG00000068394	1658
ENSG00000068400	2917
ENSG00000068438	1029
ENSG00000068489	1594
ENSG00000068615	2074
ENSG00000068650	3036
ENSG00000068654	2438
ENSG00000068697	926
ENSG00000068724	2797
ENSG00000068745	969
ENSG00000068781	2609
ENSG00000068784	1573
ENSG00000068796	4523
ENSG00000068831	1187
ENSG00000068878	2376
ENSG00000068885	1089
ENSG00000068903	1302
ENSG00000068912	2591
ENSG00000068971	1074
ENSG00000068976	1685
ENSG00000068985	659
ENSG00000069011	1048
ENSG00000069018	2452
ENSG00000069020	2343
ENSG00000069122	3146
ENSG00000069188	4613
ENSG00000069206	2503
ENSG00000069248	1899
ENSG00000069275	3314
ENSG00000069329	1943
ENSG00000069345	1906
ENSG00000069399	866
ENSG00000069424	2187
ENSG00000069431	3971
ENSG00000069482	698
ENSG00000069493	1090
ENSG00000069509	1062
ENSG00000069535	1251
ENSG00000069667	1801
ENSG00000069696	880
ENSG00000069702	2830
ENSG00000069764	612
ENSG00000069812	1340
ENSG00000069849	937
ENSG00000069869	3703
ENSG00000069943	1038
ENSG00000069956	3174
ENSG00000069966	1917
ENSG00000069974	1916
ENSG00000069998	1647
ENSG00000070010	1479
ENSG00000070018	3557
ENSG00000070019	2701
ENSG00000070031	526
ENSG00000070047	4531
ENSG00000070061	5579
ENSG00000070081	1157
ENSG00000070087	997
ENSG00000070159	5383
ENSG00000070182	5246
ENSG00000070190	2422
ENSG00000070193	3622
ENSG00000070214	4625
ENSG00000070269	1584
ENSG00000070366	1442
ENSG00000070367	2310
ENSG00000070371	2637
ENSG00000070388	1443
ENSG00000070404	1139
ENSG00000070413	2866
ENSG00000070423	1311
ENSG00000070444	1331
ENSG00000070476	3308
ENSG00000070495	2337
ENSG00000070501	756
ENSG00000070526	1159
ENSG00000070540	1105
ENSG00000070601	3660
ENSG00000070610	1740
ENSG00000070614	1730
ENSG00000070669	1342
ENSG00000070718	1157
ENSG00000070729	1694
ENSG00000070731	764
ENSG00000070748	1809
ENSG00000070756	2111
ENSG00000070759	2280
ENSG00000070761	808
ENSG00000070770	2426
ENSG00000070778	2797
ENSG00000070785	1041
ENSG00000070808	2718
ENSG00000070814	3424
ENSG00000070831	2993
ENSG00000070882	2237
ENSG00000070886	3410
ENSG00000070915	3328
ENSG00000070950	1195
ENSG00000070961	3022
ENSG00000070985	4172
ENSG00000071051	1434
ENSG00000071054	3578
ENSG00000071073	2881
ENSG00000071082	941
ENSG00000071127	2369
ENSG00000071189	2496
ENSG00000071203	852
ENSG00000071205	2622
ENSG00000071242	2278
ENSG00000071243	1760
ENSG00000071246	2043
ENSG00000071282	2120
ENSG00000071462	1201
ENSG00000071537	2020
ENSG00000071539	875
ENSG00000071553	1940
ENSG00000071564	1735
ENSG00000071575	2138
ENSG00000071626	2039
ENSG00000071655	2007
ENSG00000071677	264
ENSG00000071794	2388
ENSG00000071859	876
ENSG00000071889	1264
ENSG00000071894	1251
ENSG00000071909	4054
ENSG00000071967	1675
ENSG00000071991	2622
ENSG00000071994	1404
ENSG00000072041	3018
ENSG00000072042	1364
ENSG00000072062	1817
ENSG00000072071	2438
ENSG00000072080	692
ENSG00000072110	2727
ENSG00000072121	5124
ENSG00000072133	3021
ENSG00000072134	1318
ENSG00000072135	1031
ENSG00000072163	1945
ENSG00000072182	2367
ENSG00000072195	2312
ENSG00000072201	1379
ENSG00000072210	2127
ENSG00000072274	3942
ENSG00000072310	1542
